Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Самарская область,117.91,103.14,116.32,118.31,129.78,117.24,103.14,116.59,116.31,127.47,116.11,103.08,116.69,113.78,122.85,114.54,103,115.3,112.05,120.52
Саратовская область,125.96,165.75,131.08,152.28,94.39,131.48,156.13,136.44,150.03,103.44,131.88,146.24,136.46,140.97,110.35,131.91,142.22,135.6,138.37,115.01
Ульяновская область,112.88,104.57,113.36,113.34,,114.72,104.62,116.12,114.03,,116.53,106.13,118.38,115.21,,116.47,106.73,118.16,115.27,
Уральский федеральный округ,120.23,118.95,118.74,122.63,128.47,120.88,119.1,120.3,121.77,125.27,119.69,118.73,118.53,121.73,124.22,117.84,117.5,116.41,120.25,123.35
Курганская область,123.69,,124.19,114.82,,130.37,,131.25,115,,125.75,,126.32,115.35,,122.79,,123.19,115.36,
Свердловская область,120.38,124.41,119.16,121.13,125.7,120.51,123.68,120.65,120.15,119.21,119.51,122.56,118.61,120.35,119.93,117.88,120.51,116.73,118.96,119.67
Тюменская область,112.94,105.26,113.37,112.55,,111.54,107.16,111.91,110.48,,111.92,108.53,112.38,109.87,,110.29,109.25,110.52,109.01,
Ханты-Мансийский автономный округ - Югра (Тюменская область),112.44,105.08,112.69,113.36,,111.44,107.09,111.8,110.5,,111.53,108.54,111.93,109.81,,110.18,109.15,110.37,109.18,
Ямало-Ненецкий автономный округ (Тюменская область),117.65,110.17,118.22,113.55,,114.79,112.37,114.8,115.3,,116.65,113.1,116.97,114.17,,113.58,114.6,113.78,111.05,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),102.66,100,102.49,103.85,,100.33,100,99.33,103.37,,99.59,101.44,97.86,104.25,,98.41,102.17,96.07,104.4,
Челябинская область,155.81,,147.91,212.32,132.42,159.88,,153.02,219.06,134.07,153.62,,145.77,207.66,130.39,149.48,,141.49,197.41,128.7
Сибирский федеральный округ,126.01,119.94,129.02,122.62,127.84,124.74,118.93,127.38,121.65,128.29,123.13,117.07,125.45,120.42,126.97,121.76,116.92,123.83,119.18,126.52
Республика Алтай,153.42,,153.42,,,157.01,,157.01,,,156.55,,156.55,,,147.06,,147.06,,
Республика Тыва,120.71,143.12,120.13,119.49,112.5,115.58,132.11,115.37,114.46,109.09,112.69,120.98,112.49,112.47,105.88,111.99,115.08,111.44,112.74,104.35
Республика Хакасия,122.92,,117.08,123.6,,123.1,,114.19,124.18,,123.1,,111.56,124.51,,122.22,,109.44,123.79,
Алтайский край,130.69,111.3,132.25,124.27,141.67,131.53,112.73,132.19,128.76,141.27,127.57,111.37,127.71,126.28,136.48,125.08,112.42,124.58,124.23,135.81
Красноярский край,117.75,118.74,118.79,116.59,116.88,116.65,113.99,118.34,115,116.91,115.83,110.99,117.54,114.29,116.92,115.21,108.88,117.16,113.48,117.18
Иркутская область,114.33,112.91,115.86,110.4,101.5,113.93,106.43,115.28,110.51,102.92,112.72,104.43,113.99,109.51,101.93,111.17,103.29,112.26,108.44,101.44
Кемеровская область - Кузбасс,153.57,149.27,152.99,157.63,121.05,148.73,144.3,147.85,152.73,121.06,144.92,138.78,143.24,149.96,121.1,144.62,134.09,143.13,149.87,120.74
Новосибирская область,113.88,100,120.96,104.25,100.07,113.22,100,119.3,105,100.03,113.7,103,119.75,105.4,103.36,113.57,104.5,119.82,104.88,105.02
Омская область,126.98,113.12,131.32,124.63,121.52,125.89,113.48,129.13,124.03,124.04,126.0,115.34,127.88,125.15,127.38,125.22,118.34,125.95,124.97,128.22
Томская область,123.94,113.35,126.22,123.17,127.38,121.35,113.04,123.19,120.67,126.08,118.32,109.07,120.46,117.6,119.01,115.33,107.97,117.2,114.72,113.83
Дальневосточный федеральный округ,112.79,107.42,112.94,113.82,105.33,111.22,110.8,111.08,112,105.38,109.84,107.14,109.85,110.56,105.08,108.91,106.88,108.72,109.95,104.09
Республика Бурятия,117.4,102.37,117.09,118.72,,114.7,111.86,114.65,114.95,,113.7,115.78,113.22,114.22,,112.75,119.12,111.73,113.75,
Республика Саха (Якутия),104.48,119.05,104.48,103.71,,103.4,125.04,103.31,104.2,,103.08,110.98,103.06,103.08,,105.43,105.07,105.62,101.47,
Забайкальский край,114.39,,115.75,112.54,,113.07,,114.63,110.95,,110.95,,112.27,109.18,,108.72,,109.76,107.33,
Камчатский край,121.22,102.47,106.55,130.67,,118.04,101.87,106.25,125.77,,115.8,101.58,104.82,122.65,,113.74,101.45,106.07,118.7,
Приморский край,108.76,110.72,111.37,106.55,104.59,108.16,116.36,109.4,105.5,103.02,107.82,115.59,108.58,105.71,102.07,107.48,114.03,106.42,107.34,101.01
Хабаровский край,115.85,104.89,119.47,114.26,101.05,112.27,106.81,113.99,111.85,100.88,109.42,100.35,111.2,109.39,101.69,107.47,101.09,107.75,108.71,102.03
Амурская область,115.21,100.89,114.98,116.73,,114.56,98.71,114.16,117.13,,115.37,97.26,114.83,118.75,,113.86,97.09,113.4,116.81,
Магаданская область,135.25,,139.07,132.68,,131.04,,129.06,132.37,,128.78,,130.47,127.67,,127.59,,127.98,127.34,
Сахалинская область,109.6,118.38,109.89,107.2,110.29,111.94,118.38,112.82,107.14,112.21,110.04,115.45,110.56,106.47,111.37,107.88,111.55,108.29,105.04,109
Еврейская автономная область,123.03,,122.5,133.93,,121.93,,121.53,130.03,,120.76,,120.59,124.23,,121.41,,121.6,117.66,
