Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Воронежская область,108.24,114.43,106.17,109.75,104.07,114.38,121.04,111.56,117.01,109.93,115.05,121.17,112.45,117.53,109.93,127.62,128.09,128.19,126.83,109.93
Ивановская область,104.14,100,103.84,104.51,105.1,107.12,96.01,102.23,115.38,105.1,107.88,101.45,102.89,116.4,105.1,109.14,153.91,103.28,118.97,105.1
Калужская область,111.4,99.33,112.71,107.19,,115.83,101.07,118.15,107.45,,117.2,117.89,117.89,113.99,,124.93,116.78,127.29,115.35,
Костромская область,103.02,96.62,105.09,101.43,104,109.61,106.04,111.94,108.56,104,112.12,109.17,113.09,112.48,104,111.05,94.91,112.8,110.31,110
Курская область,104.21,,104.93,103.7,105.37,105.13,,105.05,105,107,103.25,,106.28,101.46,104.36,104.51,,107.31,102.74,106.71
Липецкая область,114.7,,109.61,115.96,120.97,119.26,,115.87,119.14,126.35,120.17,,116.49,120.54,126.35,120.09,,116.24,120.54,126.35
Московская область,116.16,108.24,120.96,106.8,98.78,118.83,108.07,121.63,116.38,98.78,121.64,108.16,124.94,118.75,101.3,117.41,106.11,119.13,117.88,100.88
Орловская область,118.23,121.26,122.38,116.14,,118.75,121.26,119.98,118.08,,115.78,118.84,117.83,114.69,,117.88,107.03,122.31,116.11,
Рязанская область,111.13,115.2,110.83,110.11,112.07,115.82,115.54,121.51,113.25,124.77,114.86,111.91,118.18,113.48,125.38,118.26,115.73,116.3,118.05,131.34
Смоленская область,102.72,,101.56,103.95,,102.86,,101.72,104.07,,105.19,,104.73,105.68,,104.93,,104.15,105.76,
Тамбовская область,107.06,109.6,107.28,105.66,107.2,111.53,109.62,107.75,105.83,114.97,111.28,109.62,106.63,105.77,114.97,112.86,109.63,106.74,107.81,117.09
Тверская область,113.73,,109.56,113.26,118.92,113.5,,110.16,113.16,117.63,111.33,,111.18,112.42,110.75,113.32,,112.38,109.3,117.19
Тульская область,104.79,,106.42,103.87,,104.56,,107.64,102.83,,106.07,,108.33,104.79,,104.64,,107.46,103.06,
Ярославская область,107.16,103.69,111.42,107.3,101.36,112.05,103.69,116.06,112.51,106.2,112.05,104.83,112.53,112.68,110.05,111.18,112.76,126.17,108.62,102.4
Город Москва столица Российской Федерации город федерального значения,101.65,,100,100,108.11,103.85,,100,100,118.95,105.96,,102.9,101.48,121.36,107.14,,104.4,102.26,123.02
Северо-Западный федеральный округ,103.51,104.85,100.59,107.85,105.88,102.86,104.93,95.89,110.4,121.31,103.89,102.03,96.4,113.11,121.8,103.41,95.77,97.18,112.59,115.94
Республика Карелия,106.56,100,108.64,103.7,100,108.1,100,108.29,108.37,100,109.77,100,110.02,109.71,105.25,110.24,100,110.67,110.23,100.52
Республика Коми,112.56,99.07,107.27,118.04,100.83,116.95,99.33,114.85,120.94,100.83,120.49,110.18,116.54,125.59,103.53,127.84,111.48,120.88,136,104.32
Архангельская область,102.32,100.23,102.75,102.1,100.55,102.94,99.93,103.3,103,100.92,103.97,99.47,104.92,103.48,100.98,106.62,99.91,107.29,106.92,102.19
Ненецкий автономный округ (Архангельская область),100.02,,100.02,,,105.25,,105.25,,,111.3,,111.3,,,114.54,,114.54,,
Архангельская область (кроме Ненецкого автономного округа),102.43,100.23,103.01,102.1,100.55,102.82,99.93,103.11,103,100.92,103.6,99.47,104.3,103.48,100.98,106.22,99.91,106.59,106.92,102.19
Вологодская область,101.8,,100.55,103.88,,103.7,,103.59,103.88,,106.53,,106.45,106.68,,108.86,,108.16,110.02,
Калининградская область,108.91,104.28,107.63,108.85,114.05,125.71,104.56,124.24,130.53,132.75,122.26,102.84,110.32,124.75,156.47,122.65,100.88,113.12,123.51,153.97
Ленинградская область,102.82,100,105.14,100,100,105.23,100,106.65,104.23,100.88,107.1,105.54,107.9,106.42,102.8,106.87,105.44,107.56,106.31,102.69
Мурманская область,109.44,,107.04,113.89,,106.57,,102.59,113.92,,105.88,,101,114.89,,106.8,,105.55,109.1,
Новгородская область,107.62,109.41,104.63,111.13,,105.68,105.12,108.23,102.58,,110.17,107.01,103.81,118.48,,116.24,104.42,114.59,119.73,
Псковская область,104.56,116.46,105.58,100.61,,115.61,116.46,120.3,104.25,,117.72,124.32,121.94,106.75,,116.77,133.46,118.73,109.97,
Город Санкт-Петербург город федерального значения,100.48,105.64,96.16,106.54,105.09,97.02,105.81,86.25,108.1,122.1,98.22,101.63,87.84,111.83,117.79,95.69,93.31,87.2,108.53,110.6
Южный федеральный округ,106.33,105.15,104.47,108.73,106.2,109.17,103.26,107.23,112.25,111.61,109.37,102.35,106.77,113.27,113.42,111.48,103.57,108.72,115.77,115.32
Республика Адыгея (Адыгея),101.76,104.48,101.23,100.89,,101.3,104.3,100.6,100.44,,94.75,96.65,97.89,91.11,,96.07,96.53,102.33,90.43,
Республика Калмыкия,102.75,100,100.18,112.99,,102.68,100,99.6,114.92,,102.54,100,99.43,114.92,,107.06,100,105.16,114.92,
Республика Крым,102.5,100,102.92,100,101.31,103.99,100,103.78,106.17,101.31,104.06,100,103.88,106.04,101.31,109.01,100,109.75,106.04,101.31
Краснодарский край,110.59,100,96.34,125.01,,103.65,95.11,91.17,116.13,,100.89,95.11,83.44,117.1,,106.23,95.11,84.3,127.4,
