Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Белгородская область,107.29,106.63,107.5,,102.97,99.92,103.96,,105.93,107.43,105.44,,105.75,108.95,104.72,
Брянская область,103.48,102.74,105.33,108.91,101.84,102.64,99.88,106.39,101.45,101.37,101.62,103.96,104.23,105.06,102.22,94.85
Владимирская область,117.17,118.01,116.95,,110.25,106.74,111.25,,105.67,104.58,105.97,,111.32,115.27,110.27,
Воронежская область,115.85,117.13,115.17,107.28,109.09,108.92,109.22,104.41,110.59,108.25,112.02,106.54,111.93,112.52,111.59,112.72
Ивановская область,106.93,108.99,106.49,,103.4,110.59,101.95,,106.26,108.3,105.83,,109.64,108.53,109.88,
Калужская область,118.56,119.49,117.77,111.81,103.32,101.73,104.75,104.49,106.81,105.29,108.08,100.0,112.22,111.04,113.28,100.0
Костромская область,109.34,108.36,109.39,,107.07,130.93,105.81,,105.34,132.1,103.95,,105.3,125.9,104.19,
Курская область,109.87,,109.96,105.24,104.54,,104.53,105.03,98.91,,98.81,103.54,106.03,,106.03,106.14
Липецкая область,114.36,123.59,110.17,,108.6,117.08,104.76,,104.78,103.9,105.23,,104.47,106.28,103.53,
Московская область,104.99,103.07,105.96,97.87,98.66,95.12,100.34,100.78,105.06,102.45,106.3,99.74,116.03,114.6,116.73,100.0
Орловская область,117.41,117.68,117.41,117.34,109.11,109.24,109.01,111.85,106.73,113.22,106.64,105.56,109.34,129.54,109.19,102.07
Рязанская область,122.04,117.78,122.39,,107.82,107.65,107.83,,106.25,104.31,106.41,,104.35,102.58,104.5,
Смоленская область,119.35,114.9,121.42,,111.08,106.73,113.02,,113.3,102.47,118.54,,119.41,117.76,120.11,
Тамбовская область,114.05,118.49,111.06,116.57,109.52,110.07,108.86,107.1,107.71,108.68,106.78,107.1,110.67,109.04,111.58,110.31
Тверская область,115.61,,115.93,105.36,108.99,,109.07,106.02,104.09,,104.01,106.93,107.96,,107.94,108.58
Тульская область,113.27,110.83,114.63,102.05,110.72,101.2,114.1,96.47,103.85,99.75,105.48,92.61,96.14,96.61,96.11,94.74
Ярославская область,117.8,116.07,118.78,107.09,105.53,105.31,105.67,101.99,109.17,101.35,113.6,108.0,107.29,103.24,109.5,108.0
Город Москва столица Российской Федерации город федерального значения,106.24,79.33,105.03,122.59,103.12,106.59,101.91,106.57,109.04,89.21,110.86,109.33,113.79,108.91,116.69,104.81
Северо-Западный федеральный округ,107.74,107.65,108.32,103.5,98.32,100.28,94.85,97.58,94.63,95.19,94.71,83.33,100.91,101.48,100.21,96.86
Республика Карелия,120.83,133.0,119.54,,109.55,126.08,107.93,,109.38,103.4,110.08,,109.64,110.83,109.51,
Республика Коми,111.8,,111.8,,104.46,,104.46,,113.95,,113.95,,121.93,,121.93,
Архангельская область,106.28,107.6,106.09,108.21,106.84,106.16,106.92,108.95,110.37,115.61,109.74,108.08,110.65,109.74,110.8,106.23
Ненецкий автономный округ (Архангельская область),102.33,,102.33,,101.77,,101.77,,120.95,,120.95,,118.84,,118.84,
Архангельская область (кроме Ненецкого автономного округа),106.78,107.6,106.64,108.21,107.47,106.16,107.65,108.95,109.08,115.61,108.16,108.08,109.66,109.74,109.67,106.23
Вологодская область,118.59,119.23,116.33,111.73,108.14,108.69,105.31,115.61,105.97,106.0,105.05,118.27,103.27,101.69,108.92,127.92
Калининградская область,112.03,116.4,108.12,131.3,102.35,106.36,98.61,123.82,106.21,112.22,102.02,109.82,104.68,106.06,103.91,100.15
Ленинградская область,117.15,110.3,117.7,,85.3,94.1,84.7,,91.02,88.59,91.21,,94.02,96.33,93.83,
Новгородская область,114.12,110.49,118.57,,107.27,103.13,112.45,,109.07,106.56,112.07,,109.4,106.49,112.7,
Псковская область,114.45,115.4,110.47,,110.34,110.29,110.56,,105.99,105.79,106.91,,107.26,107.38,106.74,
Город Санкт-Петербург город федерального значения,105.59,106.86,101.8,102.75,98.69,99.68,95.65,96.72,92.77,94.18,89.95,82.35,100.41,101.2,98.36,96.46
Южный федеральный округ,114.77,111.41,117.34,118.8,107.33,104.46,109.47,108.27,105.53,104.75,106.03,110.71,106.35,107.52,105.41,111.85
Республика Адыгея (Адыгея),133.19,143.17,121.38,,125.69,121.42,131.35,,108.65,112.21,104.07,,106.58,108.02,104.57,
Республика Калмыкия,110.83,112.68,107.75,,111.58,115.92,104.43,,117.3,123.92,106.64,,112.76,118.77,103.2,
Республика Крым,106.45,106.73,106.25,87.89,103.33,107.27,95.73,76.8,101.37,103.15,97.57,100.0,106.45,105.07,109.69,100.0
Краснодарский край,112.46,110.71,114.47,98.49,107.18,102.35,112.67,82.22,105.4,103.69,107.3,89.46,104.52,106.25,102.75,101.79
Астраханская область,114.06,98.25,116.14,,106.25,97.82,107.25,,107.93,106.04,108.14,,108.27,101.18,109.1,
Волгоградская область,117.77,117.6,116.5,134.15,111.52,110.23,111.94,120.21,109.15,107.54,110.38,112.49,113.23,114.91,112.04,109.63
Ростовская область,121.88,118.33,122.9,107.52,107.29,115.15,105.79,102.81,104.89,110.53,103.56,115.02,107.99,112.64,106.86,119.37
Город федерального значения Севастополь,83.17,81.71,100.07,,81.4,79.94,98.94,,91.22,90.43,99.57,,91.92,90.96,101.84,
Северо-Кавказский федеральный округ,99.88,95.86,112.18,109.06,99.07,95.49,109.63,108.34,98.44,94.69,109.37,109.13,102.19,100.22,107.68,104.04
Республика Дагестан,129.49,136.55,127.29,,123.11,132.78,120.18,,116.0,117.81,115.41,,109.68,109.53,109.73,
Республика Ингушетия,100.6,100.13,103.02,102.22,102.24,101.95,104.58,103.09,103.22,103.12,106.28,103.08,103.38,103.46,102.85,103.16
Кабардино-Балкарская Республика,86.97,79.86,105.26,,107.89,104.05,115.82,,108.5,103.82,118.12,,110.15,104.99,120.65,
Карачаево-Черкесская Республика,104.54,100.0,107.8,100.0,103.57,100.69,105.65,100.0,102.22,100.74,103.27,100.0,104.57,105.06,104.56,100.0
Республика Северная Осетия-Алания,110.71,114.54,109.28,100.78,109.58,108.91,110.56,100.68,111.32,112.4,111.42,100.37,110.84,117.31,107.89,100.37
Чеченская Республика,100.91,100.86,100.99,100.56,101.24,101.21,101.44,99.75,103.82,102.11,105.57,100.05,103.95,101.98,105.9,100.05
Ставропольский край,96.99,94.46,113.81,125.42,95.48,93.53,107.38,122.4,94.52,92.53,106.43,125.9,99.75,98.62,106.29,109.32
Приволжский федеральный округ,116.69,118.66,115.67,112.41,108.65,110.57,107.44,108.02,107.15,107.68,106.83,106.73,111.08,109.38,112.01,114.26
Республика Башкортостан,119.31,119.15,120.32,111.28,106.55,104.75,108.46,107.74,104.23,102.37,106.42,103.64,106.98,106.6,107.32,107.8
Республика Марий Эл,115.68,129.1,112.12,,115.26,131.84,110.62,,120.43,127.44,118.33,,127.81,128.17,127.7,
Республика Мордовия,114.14,111.82,114.57,,108.83,111.56,108.34,,107.72,107.16,107.83,,111.4,99.27,113.62,
Республика Татарстан (Татарстан),118.12,120.31,115.89,114.52,110.4,114.14,106.62,104.45,106.93,109.2,104.5,105.62,108.17,105.39,110.82,115.84
Удмуртская Республика,106.77,107.62,106.76,102.76,103.59,108.96,102.67,104.1,99.05,99.8,98.76,104.5,102.09,102.3,101.97,105.11
Чувашская Республика - Чувашия,113.05,114.43,113.13,97.26,112.77,112.87,113.53,100.94,115.1,117.26,114.04,104.84,123.06,121.76,124.78,113.71
Пермский край,117.55,122.71,115.52,121.28,109.7,109.83,109.11,119.45,108.85,103.89,110.62,110.97,113.14,106.99,115.1,119.83
Кировская область,116.42,109.02,119.87,112.32,110.28,105.56,112.4,107.61,112.69,112.85,112.73,110.71,119.63,117.54,120.66,114.74
Нижегородская область,115.57,116.61,116.14,107.32,106.51,108.42,106.09,104.87,105.75,108.13,104.83,107.72,113.29,111.21,112.81,124.87
Оренбургская область,110.86,115.72,107.78,,107.57,110.53,105.65,,111.87,110.6,112.75,,114.46,112.53,115.77,
Пензенская область,115.87,111.73,116.21,109.42,106.96,120.71,106.61,107.91,108.31,117.57,108.27,102.82,109.59,112.76,109.64,105.47
Самарская область,120.44,120.35,119.81,130.64,107.58,106.93,107.58,115.3,107.82,106.49,108.84,108.77,113.14,113.2,113.86,102.64
Саратовская область,123.56,123.74,117.4,123.04,119.02,119.43,103.63,121.34,107.16,107.12,106.93,109.28,110.23,110.29,108.97,108.61
Ульяновская область,114.39,112.32,115.74,,106.65,107.66,105.98,,107.29,110.98,104.9,,114.14,123.35,108.23,
Уральский федеральный округ,114.38,109.94,115.65,116.43,108.99,108.4,108.94,113.55,110.43,109.93,109.78,126.4,116.75,110.52,117.45,140.33
Курганская область,114.79,117.55,111.19,,114.04,110.27,119.21,,120.06,119.09,121.32,,129.24,128.59,130.11,
Свердловская область,115.28,111.69,115.88,115.89,108.45,109.13,107.67,117.61,109.22,108.24,107.74,131.15,116.49,108.54,115.88,142.86
Тюменская область,111.45,106.15,113.28,111.76,107.7,107.98,107.84,100.24,108.58,109.14,108.37,109.51,114.0,109.08,115.14,133.37
Ханты-Мансийский автономный округ - Югра (Тюменская область),118.68,113.77,119.85,,106.84,110.42,105.99,,101.25,113.12,98.6,,104.32,112.8,102.41,
Ямало-Ненецкий автономный округ (Тюменская область),101.39,100.83,108.37,,104.3,103.98,108.3,,101.82,101.93,100.48,,101.66,101.67,101.62,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),110.42,105.77,111.87,111.76,108.01,108.21,108.25,100.24,110.41,109.58,110.7,109.51,116.59,109.58,118.26,133.37
Челябинская область,121.37,113.62,125.06,136.88,113.77,107.53,116.67,122.47,118.2,110.13,121.82,136.35,123.23,108.78,130.22,136.31
Сибирский федеральный округ,117.47,120.94,114.97,122.02,112.82,118.49,109.26,114.35,112.96,116.74,110.48,114.73,115.27,118.05,113.09,120.35
Республика Алтай,116.96,117.17,111.11,,117.96,119.03,91.67,,113.52,114.19,96.25,,136.5,136.5,136.36,
Республика Тыва,105.51,106.0,101.02,,111.22,112.57,98.9,,114.37,115.75,101.4,,111.95,112.97,102.58,
Республика Хакасия,110.48,114.97,107.91,,104.37,111.54,100.46,,103.94,106.92,102.3,,110.27,113.12,108.64,
Алтайский край,114.88,112.83,117.07,115.89,113.35,113.66,113.06,112.93,114.87,113.0,115.62,128.18,119.86,120.37,118.78,124.77
Красноярский край,112.35,111.4,110.92,125.14,108.13,104.74,107.74,114.64,110.29,113.2,109.63,112.4,116.65,117.17,116.13,119.93
Иркутская область,112.78,110.41,113.92,,110.64,110.08,110.9,,107.15,108.3,106.62,,107.65,106.53,108.16,
Кемеровская область - Кузбасс,104.74,103.5,105.58,,103.9,103.05,104.47,,105.78,103.22,107.52,,104.93,104.98,104.9,
Новосибирская область,130.05,134.64,126.16,120.23,123.77,132.54,114.04,112.98,120.17,126.17,112.66,114.09,119.38,123.63,112.39,121.36
Омская область,121.33,123.16,119.31,128.73,115.32,116.82,113.47,123.67,116.07,117.96,114.6,113.38,116.88,121.76,113.14,112.54
Томская область,116.27,120.99,115.51,112.92,106.72,106.47,106.66,118.14,110.6,108.1,110.97,117.62,112.62,103.23,114.32,109.89
Дальневосточный федеральный округ,109.27,109.85,108.99,104.47,105.15,106.08,104.59,102.94,106.18,105.27,106.82,103.81,108.0,106.54,109.0,105.23
Республика Бурятия,113.97,115.31,112.87,,108.74,109.43,108.15,,101.04,107.51,95.79,,107.52,113.08,102.75,
Республика Саха (Якутия),109.17,108.68,111.17,,101.85,101.63,102.73,,103.93,102.83,108.36,,101.49,101.67,100.78,
Забайкальский край,114.87,,114.87,,104.14,,104.14,,109.57,,109.57,,113.2,,113.2,
Камчатский край,117.69,105.88,122.65,,120.73,105.88,127.03,,120.79,100.98,129.55,,109.96,104.86,111.93,
Приморский край,108.47,111.62,107.31,105.93,102.7,109.91,99.8,107.01,105.25,107.74,104.32,103.37,106.17,106.14,106.25,103.09
Хабаровский край,106.56,104.19,107.87,103.2,103.57,96.9,107.27,97.57,104.39,94.33,109.89,101.88,108.79,99.59,113.61,103.77
Амурская область,113.48,113.2,114.89,102.93,112.78,113.08,111.5,115.13,111.17,109.96,115.87,125.53,113.12,110.76,122.31,138.53
Магаданская область,104.06,104.06,,,100.36,100.36,,,100.36,100.36,,,100.49,100.49,,
Сахалинская область,104.09,101.98,104.41,,107.23,101.74,108.03,,109.68,134.15,106.06,,110.33,139.38,106.07,
Еврейская автономная область,111.19,,111.19,,116.41,,116.41,,121.06,,121.06,,144.31,,144.31,
Чукотский автономный округ,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,
Российская Федерация,111.4,109.92,111.56,118.75,108.15,107.53,108.08,112.4,107.19,105.68,107.75,110.68,107.84,105.97,108.74,109.97
Центральный федеральный округ,108.23,99.95,107.48,122.32,105.95,102.19,105.25,113.8,106.72,101.3,106.78,112.21,108.23,103.53,108.77,110.23
Белгородская область,107.29,106.63,107.5,,105.09,103.23,105.7,,105.38,104.67,105.61,,105.47,105.77,105.38,
Брянская область,103.48,102.74,105.33,108.91,102.65,102.69,102.55,107.63,102.24,102.24,102.24,106.38,102.75,102.96,102.23,103.21
Владимирская область,117.17,118.01,116.95,,113.58,112.0,114.02,,110.75,109.38,111.12,,110.9,110.9,110.9,
Воронежская область,115.85,117.13,115.17,107.28,112.32,112.84,112.08,105.81,111.72,111.22,112.06,106.05,111.78,111.56,111.94,107.74
Ивановская область,106.93,108.99,106.49,,105.12,109.8,104.15,,105.5,109.29,104.72,,106.55,109.09,106.02,
Калужская область,118.56,119.49,117.77,111.81,110.36,109.89,110.79,108.15,109.11,108.33,109.81,105.23,109.91,109.02,110.7,103.85
Костромская область,109.34,108.36,109.39,,108.18,119.65,107.56,,107.2,123.81,106.32,,106.7,124.37,105.76,
Курская область,109.87,,109.96,105.24,107.15,,107.19,105.13,104.2,,104.19,104.59,104.68,,104.67,104.98
Липецкая область,114.36,123.59,110.17,,111.4,120.24,107.38,,109.09,114.24,106.65,,107.87,112.05,105.84,
Московская область,104.99,103.07,105.96,97.87,101.71,99.01,103.03,99.3,102.87,100.18,104.16,99.45,106.22,103.81,107.38,99.59
Орловская область,117.41,117.68,117.41,117.34,113.09,113.27,113.03,114.59,110.82,113.25,110.75,111.3,110.43,117.55,110.34,108.86
Рязанская область,122.04,117.78,122.39,,114.43,112.4,114.6,,111.53,109.53,111.69,,109.55,107.67,109.7,
Смоленская область,119.35,114.9,121.42,,114.98,110.64,116.96,,114.4,107.72,117.5,,115.71,110.26,118.2,
Тамбовская область,114.05,118.49,111.06,116.57,111.64,114.11,109.82,111.52,110.3,112.25,108.79,109.98,110.34,111.41,109.39,110.07
Тверская область,115.61,,115.93,105.36,112.24,,112.44,105.69,109.41,,109.51,106.09,109.03,,109.09,106.72
Тульская область,113.27,110.83,114.63,102.05,111.96,105.76,114.36,99.25,109.05,103.67,111.14,97.02,105.56,101.8,107.03,96.45
Ярославская область,117.8,116.07,118.78,107.09,111.41,110.43,111.98,104.48,110.62,107.21,112.55,105.69,109.73,106.17,111.73,106.28
Город Москва столица Российской Федерации город федерального значения,106.24,79.33,105.03,122.59,104.63,91.23,103.41,113.94,106.14,90.52,105.96,112.34,108.11,94.74,108.71,110.33
Северо-Западный федеральный округ,107.74,107.65,108.32,103.5,102.85,103.85,101.2,100.54,99.93,100.77,98.92,94.08,100.18,100.95,99.25,94.78
Республика Карелия,120.83,133.0,119.54,,114.81,129.43,113.33,,112.87,119.3,112.18,,112.01,116.96,111.47,
Республика Коми,111.8,,111.8,,107.98,,107.98,,110.04,,110.04,,113.21,,113.21,
Архангельская область,106.28,107.6,106.09,108.21,106.56,106.87,106.51,108.58,107.86,109.75,107.61,108.41,108.57,109.75,108.43,107.86
Ненецкий автономный округ (Архангельская область),102.33,,102.33,,102.05,,102.05,,108.36,,108.36,,111.02,,111.02,
Архангельская область (кроме Ненецкого автономного округа),106.78,107.6,106.64,108.21,107.13,106.87,107.16,108.58,107.79,109.75,107.5,108.41,108.27,109.75,108.06,107.86
Вологодская область,118.59,119.23,116.33,111.73,113.11,113.69,110.55,113.69,110.58,110.96,108.64,115.25,108.61,108.44,108.71,118.44
Калининградская область,112.03,116.4,108.12,131.3,106.99,111.16,103.17,127.45,106.72,111.51,102.78,120.91,106.19,110.05,103.07,114.99
Ленинградская область,117.15,110.3,117.7,,99.25,101.79,99.07,,96.39,97.04,96.34,,95.78,96.85,95.7,
Новгородская область,114.12,110.49,118.57,,110.54,106.63,115.4,,110.04,106.61,114.24,,109.87,106.58,113.82,
Псковская область,114.45,115.4,110.47,,112.35,112.77,110.52,,110.12,110.31,109.27,,109.36,109.54,108.61,
Город Санкт-Петербург город федерального значения,105.59,106.86,101.8,102.75,102.05,103.16,98.65,99.74,98.73,99.96,95.56,93.2,99.16,100.28,96.26,94.01
Южный федеральный округ,114.77,111.41,117.34,118.8,110.91,107.84,113.23,113.3,109.02,106.77,110.68,112.39,108.32,106.96,109.27,112.24
Республика Адыгея (Адыгея),133.19,143.17,121.38,,129.31,131.64,126.38,,121.68,124.42,118.21,,117.39,119.63,114.48,
Республика Калмыкия,110.83,112.68,107.75,,111.21,114.31,106.07,,113.24,117.49,106.26,,113.12,117.82,105.46,
Республика Крым,106.45,106.73,106.25,87.89,104.86,107.01,100.8,81.98,103.66,105.67,99.69,87.22,104.37,105.52,102.16,90.1
Краснодарский край,112.46,110.71,114.47,98.49,109.76,106.42,113.55,90.33,108.24,105.48,111.35,90.04,107.26,105.68,109.01,92.95
Астраханская область,114.06,98.25,116.14,,109.98,98.03,111.47,,109.28,100.57,110.32,,109.02,100.72,110.01,
Волгоградская область,117.77,117.6,116.5,134.15,114.51,113.72,114.14,126.83,112.61,111.49,112.83,121.55,112.78,112.39,112.62,118.16
Ростовская область,121.88,118.33,122.9,107.52,114.06,116.69,113.64,105.06,110.77,114.49,110.02,108.47,110.04,114.0,109.19,111.25
Город федерального значения Севастополь,83.17,81.71,100.07,,82.27,80.81,99.51,,85.06,83.79,99.53,,86.66,85.46,100.1,
Северо-Кавказский федеральный округ,99.88,95.86,112.18,109.06,99.47,95.67,110.88,108.69,99.12,95.34,110.36,108.84,99.89,96.54,109.66,107.57
Республика Дагестан,129.49,136.55,127.29,,126.21,134.63,123.63,,122.56,128.42,120.72,,118.93,123.04,117.64,
Республика Ингушетия,100.6,100.13,103.02,102.22,101.42,101.03,103.8,102.65,102.02,101.73,104.63,102.8,102.36,102.16,104.17,102.89
Кабардино-Балкарская Республика,86.97,79.86,105.26,,96.53,90.51,110.49,,100.29,94.59,113.03,,102.66,97.04,114.95,
Карачаево-Черкесская Республика,104.54,100.0,107.8,100.0,104.05,100.35,106.71,100.0,103.43,100.48,105.53,100.0,103.72,101.62,105.28,100.0
Республика Северная Осетия-Алания,110.71,114.54,109.28,100.78,110.14,111.65,109.92,100.73,110.54,111.91,110.43,100.61,110.62,113.3,109.77,100.55
Чеченская Республика,100.91,100.86,100.99,100.56,101.07,101.04,101.22,100.15,101.99,101.39,102.67,100.12,102.48,101.54,103.48,100.1
Ставропольский край,96.99,94.46,113.81,125.42,96.23,93.99,110.48,123.85,95.65,93.5,109.08,124.52,96.66,94.74,108.35,120.15
Приволжский федеральный округ,116.69,118.66,115.67,112.41,112.49,114.43,111.38,110.15,110.6,112.01,109.77,108.96,110.72,111.31,110.36,110.33
Республика Башкортостан,119.31,119.15,120.32,111.28,112.53,111.47,114.04,109.45,109.53,108.15,111.31,107.41,108.85,107.73,110.23,107.51
Республика Марий Эл,115.68,129.1,112.12,,115.47,130.53,111.36,,117.17,129.42,113.71,,119.97,129.08,117.35,
Республика Мордовия,114.14,111.82,114.57,,111.39,111.69,111.33,,110.11,110.08,110.11,,110.44,107.3,111.02,
Республика Татарстан (Татарстан),118.12,120.31,115.89,114.52,114.08,117.09,111.04,109.17,111.51,114.24,108.69,107.92,110.62,111.9,109.27,109.96
Удмуртская Республика,106.77,107.62,106.76,102.76,105.15,108.3,104.67,103.43,103.01,105.3,102.6,103.79,102.77,104.52,102.43,104.12
Чувашская Республика - Чувашия,113.05,114.43,113.13,97.26,112.9,113.63,113.33,99.09,113.66,114.88,113.58,101.0,116.11,116.69,116.49,104.18
Пермский край,117.55,122.71,115.52,121.28,113.46,115.9,112.19,120.35,111.83,111.52,111.64,116.92,112.17,110.31,112.54,117.7
Кировская область,116.42,109.02,119.87,112.32,113.23,107.25,115.97,109.91,113.04,109.1,114.83,110.19,114.77,111.23,116.39,111.33
Нижегородская область,115.57,116.61,116.14,107.32,110.84,112.31,110.89,106.06,109.04,110.85,108.74,106.62,110.16,110.95,109.81,111.19
Оренбургская область,110.86,115.72,107.78,,109.18,113.05,106.7,,110.11,112.18,108.76,,111.24,112.27,110.56,
Пензенская область,115.87,111.73,116.21,109.42,111.21,116.33,111.18,108.66,110.18,116.78,110.15,106.66,110.03,115.64,110.01,106.35
Самарская область,120.44,120.35,119.81,130.64,113.64,113.24,113.35,122.66,111.59,110.84,111.77,117.62,112.0,111.46,112.32,113.42
Саратовская область,123.56,123.74,117.4,123.04,121.24,121.54,109.99,122.18,116.02,116.19,108.9,117.31,114.43,114.56,108.92,114.91
Ульяновская область,114.39,112.32,115.74,,110.36,109.89,110.67,,109.29,110.27,108.65,,110.55,113.64,108.54,
Уральский федеральный округ,114.38,109.94,115.65,116.43,111.6,109.16,112.17,114.94,111.19,109.43,111.33,118.92,112.64,109.71,112.93,124.45
Курганская область,114.79,117.55,111.19,,114.41,113.78,115.25,,116.38,115.61,117.4,,119.73,118.99,120.71,
Свердловская область,115.28,111.69,115.88,115.89,111.74,110.39,111.6,116.77,110.86,109.65,110.25,121.86,112.33,109.35,111.72,127.44
Тюменская область,111.45,106.15,113.28,111.76,109.54,107.07,110.49,105.7,109.2,107.77,109.75,106.97,110.44,108.11,111.14,113.15
Ханты-Мансийский автономный округ - Югра (Тюменская область),118.68,113.77,119.85,,112.59,112.05,112.71,,108.52,112.42,107.61,,107.4,112.52,106.21,
Ямало-Ненецкий автономный округ (Тюменская область),101.39,100.83,108.37,,102.85,102.41,108.34,,102.5,102.25,105.59,,102.29,102.1,104.56,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),110.42,105.77,111.87,111.76,109.19,106.99,110.02,105.7,109.61,107.87,110.25,106.97,111.4,108.31,112.3,113.15
Челябинская область,121.37,113.62,125.06,136.88,117.37,110.47,120.59,129.38,117.66,110.35,121.03,131.66,119.14,109.94,123.49,132.89
Сибирский федеральный округ,117.47,120.94,114.97,122.02,115.08,119.68,112.04,118.03,114.35,118.66,111.5,116.87,114.59,118.5,111.92,117.79
Республика Алтай,116.96,117.17,111.11,,117.48,118.14,100.46,,116.09,116.75,98.97,,121.45,121.95,108.13,
Республика Тыва,105.51,106.0,101.02,,108.36,109.27,99.96,,110.39,111.47,100.44,,110.78,111.85,100.98,
Республика Хакасия,110.48,114.97,107.91,,107.31,113.22,104.02,,106.14,111.04,103.42,,107.21,111.58,104.76,
Алтайский край,114.88,112.83,117.07,115.89,114.09,113.26,115.0,114.36,114.36,113.17,115.21,118.86,115.81,115.06,116.15,120.39
Красноярский край,112.35,111.4,110.92,125.14,110.17,107.95,109.29,119.6,110.21,109.73,109.41,116.96,111.88,111.65,111.14,117.76
Иркутская область,112.78,110.41,113.92,,111.69,110.24,112.36,,110.1,109.57,110.34,,109.44,108.76,109.76,
Кемеровская область - Кузбасс,104.74,103.5,105.58,,104.32,103.27,105.02,,104.81,103.25,105.86,,104.84,103.69,105.62,
Новосибирская область,130.05,134.64,126.16,120.23,126.84,133.56,120.0,116.49,124.51,130.94,117.51,115.66,123.14,128.94,116.16,117.14
Омская область,121.33,123.16,119.31,128.73,118.24,119.87,116.33,126.12,117.48,119.21,115.73,121.53,117.32,119.87,115.02,119.05
Томская область,116.27,120.99,115.51,112.92,111.29,113.33,110.9,115.58,111.05,111.5,110.93,116.29,111.47,109.26,111.83,114.59
Дальневосточный федеральный округ,109.27,109.85,108.99,104.47,107.16,107.91,106.74,103.7,106.83,107.0,106.77,103.74,107.13,106.88,107.34,104.12
Республика Бурятия,113.97,115.31,112.87,,111.29,112.28,110.47,,107.66,110.61,105.23,,107.63,111.25,104.6,
Республика Саха (Якутия),109.17,108.68,111.17,,105.37,105.02,106.78,,104.88,104.27,107.32,,104.0,103.6,105.64,
Забайкальский край,114.87,,114.87,,109.28,,109.28,,109.38,,109.38,,110.36,,110.36,
Камчатский край,117.69,105.88,122.65,,119.2,105.88,124.83,,119.74,104.2,126.41,,117.07,104.37,122.37,
Приморский край,108.47,111.62,107.31,105.93,105.52,110.73,103.47,106.47,105.42,109.7,103.76,105.43,105.62,108.77,104.4,104.82
Хабаровский край,106.56,104.19,107.87,103.2,105.03,100.41,107.57,100.39,104.81,98.28,108.35,100.89,105.82,98.6,109.69,101.62
Амурская область,113.48,113.2,114.89,102.93,113.12,113.14,113.15,109.04,112.45,112.03,114.09,114.57,112.62,111.7,116.25,120.63
Магаданская область,104.06,104.06,,,102.17,102.17,,,101.56,101.56,,,101.29,101.29,,
Сахалинская область,104.09,101.98,104.41,,105.66,101.86,106.22,,107.0,112.69,106.16,,107.84,119.37,106.14,
Еврейская автономная область,111.19,,111.19,,113.84,,113.84,,116.27,,116.27,,123.33,,123.33,
Чукотский автономный округ,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,
