Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Калужская область,119.29,115.96,120.92,94.06,142.3,141.26,143.22,104.23,144.62,132.72,149.16,119.08,131.75,128.79,132.98,119.08
Костромская область,115.42,,115.42,,119.01,,119.01,,120.43,,120.43,,121.95,,121.95,
Курская область,122.85,,122.85,,122.77,,122.77,,125.26,,125.26,,116.73,,116.73,
Липецкая область,140.38,118.59,143.68,108.78,140.53,119.02,143.69,111.22,135.61,135.54,135.87,124.25,124.79,133.81,123.93,114.9
Московская область,124.2,123.81,124.51,105.4,130.09,116.74,138.72,102.81,121.87,119.09,123.49,104.14,119.55,116.37,121.4,105.03
Орловская область,124.88,115.19,125.27,121.93,121.73,131.46,122.22,111.83,123.0,119.51,123,123.94,119.73,122.23,119.58,121.47
Рязанская область,129.51,127.39,129.74,,142.41,146.34,141.98,,139.46,144.29,138.92,,144.9,148.01,144.56,
Смоленская область,123.82,140.7,118.39,,131.06,142.46,127.16,,127.77,144.88,121.85,,124.67,130.87,122.53,
Тамбовская область,124.83,129.44,122.85,115.74,130.96,129.5,131.59,125,127.41,130.03,126.29,125,125.78,121.02,127.97,118.97
Тверская область,144.55,,144.14,151.72,138.13,,138.12,138.32,132.8,,132.92,130.63,127.82,,128.74,113.24
Тульская область,116.49,104.94,118.84,108.19,115.72,102.71,116.66,114.71,117.05,114.63,119.04,108.65,112.7,114.63,111.79,116.82
Ярославская область,132.01,128.48,134.4,108.25,138.06,136.2,139.36,118.25,131.71,131.31,132.02,120.61,129.79,127.02,131.55,120.61
Город Москва столица Российской Федерации город федерального значения,127.57,126.98,127.3,127.97,122.78,87.43,119.98,134.77,119.66,110.54,116.43,125.06,115.85,80.01,118.62,122.48
Северо-Западный федеральный округ,132.74,133.27,132.67,126.95,128.6,128.22,132.21,120.68,133.9,135.88,128.69,129.36,120.88,122.17,117.33,117.96
Республика Карелия,129.85,126.37,131.3,,143.9,128.02,150.38,,137.89,129.1,141.27,,124.9,108.94,131.45,
Республика Коми,123.06,,123.06,,127.76,,127.76,,126.52,,126.52,,127.05,,127.05,
Архангельская область,117.0,120.88,116.7,107.63,117.2,118.54,117.32,104.95,113.79,111.38,114.34,105.39,112.03,115.04,111.79,104.57
Ненецкий автономный округ (Архангельская область),99.65,,99.65,,100.28,,100.28,,100.28,,100.28,,100.28,,100.28,
Архангельская область (кроме Ненецкого автономного округа),118.39,120.88,118.31,107.63,118.51,118.54,118.89,104.95,114.8,111.38,115.58,105.39,112.87,115.04,112.76,104.57
Вологодская область,123.73,121.89,128.97,129.12,130.8,129.71,133.99,130.38,133.26,135.08,128.42,123.27,131.38,130.76,133.86,110.11
Калининградская область,127.15,118.61,135.91,,132.07,126.36,137.54,,122.27,117.38,126.73,,121.52,123.58,119.62,
Ленинградская область,130.87,130.87,,,149.02,149.02,,,164.66,164.66,,,157.78,157.78,,
Новгородская область,118.95,115.1,122.11,,117.65,113.15,121.22,,115.75,112.48,118.28,,114.66,105.22,122.31,
Псковская область,128.21,127.48,133.96,100,129.63,130.68,130.56,100,131.96,128.91,144.36,102.44,129.62,126.24,142.43,102.44
Город Санкт-Петербург город федерального значения,133.72,134.04,134.96,127.11,128.46,128.25,132.37,120.79,134.65,136.37,129.43,129.55,120.55,122.02,115.12,118.07
Южный федеральный округ,155.51,157.74,152.21,165.82,140.5,136.54,144.92,151.66,123.69,119.38,130.2,110.88,114.05,109.27,120.74,108.83
Республика Адыгея (Адыгея),170.7,175.83,124.68,,155.54,158.82,122.78,,136.18,136.22,135.69,,133.54,132.37,148.84,
Республика Калмыкия,146.38,160.34,110.98,,114.56,117.36,105.31,,105.45,108.93,94.63,,101.35,101.72,100,
Республика Крым,126.48,129.28,118.12,102.72,124.92,124.88,125.43,104.65,115.18,114.05,119.41,96.1,116.03,116.95,113.14,96.1
Краснодарский край,174.2,169.72,179.94,236.87,141.28,138.37,145.5,174.49,118.95,118.02,123.21,92.44,107.71,104.53,115.78,92.44
Астраханская область,132.33,106.95,136.19,102.62,138.13,107.04,142.72,101.68,124.84,107.67,127.24,102.36,122.49,110.46,124.31,101.06
Волгоградская область,126.47,124.31,128.89,122.56,134.1,135.74,133.7,131.06,129.16,131.4,125.93,136.62,126.18,127.74,122.72,137.11
Ростовская область,139.65,132.63,141.95,131.22,151.18,133.67,156.14,146.56,142.3,129.08,146,141.63,129.89,123.32,131.84,124.98
Город федерального значения Севастополь,129.3,131.32,128.26,,120.77,122.94,119.63,,113.19,108,116.12,,100.75,102.14,100.04,
Северо-Кавказский федеральный округ,119.04,116.34,121.99,112.21,117.96,113.72,122.17,112.02,119.56,114.77,124.63,107.58,116.64,118.38,115.6,110.37
Республика Дагестан,129.38,118.29,152.04,109.27,123.15,115.61,138.22,104.59,123.31,120.56,131.46,102.98,125.81,125.65,129.79,104.77
Республика Ингушетия,109.16,109.66,108.27,107.64,105.62,105.76,105.36,105.19,104.47,104.06,105.67,105.66,102.45,102.29,102.98,102.9
Кабардино-Балкарская Республика,160.55,167.1,138.76,,139.6,147.73,114.78,,141.28,150.8,112.64,,142.87,150.92,118.19,
Карачаево-Черкесская Республика,111.1,116.01,110.58,102.17,108.66,114.15,107.41,101.89,106.03,114.15,103.5,100,105.14,112.49,102.76,100
Республика Северная Осетия-Алания,109.31,106.77,111.71,108.96,113.69,115.71,112.26,108.96,116.43,116.38,116.92,111.32,116.04,116.53,115.99,111.36
Чеченская Республика,105.0,105.7,103.74,103,100.93,101.26,100.18,100.75,97.34,97.11,97.82,97.63,97.88,97.93,97.82,97.63
Ставропольский край,118.73,111.34,123.49,121.37,119.44,108.73,126.04,123.99,121.81,110.16,129.37,112.53,116.17,116.5,115.91,118.42
Приволжский федеральный округ,128.48,130.08,127.69,123.73,134.2,136.95,132.77,126.74,133.06,136.19,131.25,126.45,127.62,129.3,127.2,117.69
Республика Башкортостан,127.88,130.54,124.94,119.14,139.92,146.7,130.4,130.98,141.1,146.32,133.2,137.37,134.32,136.16,134.11,116.51
Республика Марий Эл,123.3,127.28,120.77,,118.89,125.27,114.75,,119.64,124.38,116.49,,123.27,135.11,115.84,
Республика Мордовия,123.96,122.93,124.13,,133.35,129.78,133.96,,129.95,139.91,128.35,,126.84,127.47,126.73,
Республика Татарстан (Татарстан),130.83,127.04,132.95,146.63,132.22,127.89,134.35,155.15,132.73,130.69,133.46,148.38,127.99,125.06,129.75,135.72
Удмуртская Республика,112.08,104.19,123.65,102.82,112.67,105.19,124.89,101.4,111.12,106.99,119.71,100.93,108.78,105.68,115.33,100.53
Чувашская Республика - Чувашия,133.0,134.37,132,130.14,130.5,131.92,130.21,122.39,125.19,127.15,125.09,112,118.9,120.8,118.95,104.99
Пермский край,123.9,123.85,124.22,118.41,128.84,132.44,128.4,116.25,129.87,139.15,127.41,122.28,124.75,133.43,122.25,120.97
Кировская область,137.37,149.48,128.75,106.18,144.39,154.88,137.05,107.28,133.82,137.61,131.3,106.5,123.95,121.85,125.84,105.4
Нижегородская область,128.34,132.18,126.59,131.64,137.05,142.65,135.27,134.14,133.98,130.93,136.29,122.59,129.55,122.68,133.19,121.28
Оренбургская область,122.25,118.02,127,101.85,124.92,121.5,128.94,101.85,121.32,123.06,120.34,100.92,119.54,123.07,116.98,100
Пензенская область,129.86,126.04,130.11,,136.96,124.21,137.79,,136.93,131.92,137.25,,132.25,148.05,131.25,
Самарская область,123.18,127.99,119.84,141.53,137.81,147.11,132.68,148.44,134.61,141.43,128.94,172.82,126.61,131.82,123.3,135.16
Саратовская область,144.99,147.09,117.12,113.4,146.38,148.85,131.74,108.08,152.05,154.69,132.04,109.49,143.35,145.5,128.76,106.65
Ульяновская область,128.94,123.21,137.38,,138.05,134.83,142.7,,135.49,132.11,140.24,,129.6,130.84,127.9,
Уральский федеральный округ,121.4,119.74,121.44,128.39,124.93,124.27,124.85,129.6,122.45,119.95,123.05,121.95,118.68,120.3,118.76,110.12
Курганская область,122.29,119.54,123.65,,127.85,122.02,130.83,,128.27,117.38,133.73,,124.8,121.76,126.26,
Свердловская область,124.32,121.68,123.83,132.89,128.29,127.71,128.1,131.08,124.15,120.21,124.33,127.48,119.82,119.02,120.13,117.83
Тюменская область,117.18,109.4,118.58,119.63,118.51,113.6,119.17,128.22,118.44,115.36,119.14,111.03,114.2,115.65,114.61,86.76
Ханты-Мансийский автономный округ - Югра (Тюменская область),112.64,102.57,116.67,,120.17,107.97,124.97,,126.41,110.2,132.69,,120.87,111.5,124.27,
Ямало-Ненецкий автономный округ (Тюменская область),104.38,100,111.62,,104.86,100,112.78,,104.96,100.06,112.96,,102.94,100.23,107.14,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),118.29,113.38,118.96,119.63,118.33,117.26,118.22,128.22,117.02,118.78,116.95,111.03,112.99,118.5,113,86.76
Челябинская область,130.41,132.5,129.24,115.85,141.13,136.02,146.6,120.64,132.4,125.41,139.95,106.94,131.53,126.23,136.9,116.3
Сибирский федеральный округ,131.17,134.12,129.42,130.43,131.49,136.26,128.93,124.03,126.95,128.88,125.6,133.79,124.01,123.87,124.21,120.21
Республика Алтай,118.52,113.21,125.47,,126.92,117.98,138.7,,118.21,115.17,121.98,,119.08,116.71,121.98,
Республика Тыва,145.94,145.94,,,135.34,135.34,,,131.47,131.47,,,113.67,113.67,,
Республика Хакасия,123.32,119.88,124.19,,123.45,119.7,124.37,,127.14,125.85,127.47,,121.51,115.74,123.05,
Алтайский край,133.2,135.2,132.91,115.98,136.85,140.54,136.08,122.13,126.72,133.89,124.92,121.35,124.36,129.34,122.98,128.32
Красноярский край,128.23,125.86,128.66,103.97,122.4,127.03,121.82,109.22,118.28,120.37,118.01,113.95,115.72,117.91,115.43,108.61
Иркутская область,133.62,122.18,138.46,,118.99,110.23,122.18,,121.38,113.43,124.29,,122.02,113.13,125.3,
Кемеровская область - Кузбасс,159.64,166.78,150.74,,161.84,163.64,159.57,,148.29,148.07,148.57,,144.85,143.87,146.13,
Новосибирская область,127.56,129.83,124.05,130.86,129.17,130.57,127.93,123.13,126.93,124.06,130.32,134.15,121.24,118.4,126.05,115.97
Омская область,130.8,132.96,127.85,143.09,137.06,143.9,129.41,134.15,132.4,133.78,130.38,142.78,131.54,128.89,134.23,143.97
Томская область,125.51,113.96,126.32,,127.46,124.55,127.65,,121.98,124.24,121.83,,123.24,127.16,122.99,
Дальневосточный федеральный округ,118.81,117.34,119.69,118.39,122.29,115.84,126.52,110.26,119.36,113,123.41,111.69,114.72,109.81,117.99,103.15
Республика Бурятия,128.05,127.27,129.28,,128.46,129.56,126.83,,122.33,116.21,132.45,,103.59,99.47,109.98,
Республика Саха (Якутия),115.1,117.26,110.84,,116.57,120.2,109.23,,113.12,117.72,104.02,,109.58,114.24,100.46,
Забайкальский край,120.96,,120.96,,150.78,,150.78,,143.99,,143.99,,137.86,,137.86,
Камчатский край,134.08,120.02,140.87,,135.06,112.99,147.03,,131.98,104.74,148.02,,107.43,100,110.58,
Приморский край,117.86,111.02,119.76,121.24,118.17,109.32,121.16,111.99,115.89,105.89,119.18,110.51,113.2,106.44,115.73,103.51
Хабаровский край,118.81,125.05,116.53,111.22,115.58,119.04,114.58,105.68,114.77,118.67,112.72,115.04,107.12,112.02,105.09,102.15
Амурская область,121.29,121.84,120.43,,121.53,120.15,123.74,,120.83,120.8,120.89,,120.97,122.45,118.54,
Магаданская область,102.78,102.68,110,,105.21,105.15,110,,105.34,105.13,121,,103.65,103.43,121,
Сахалинская область,114.92,111.81,119.42,,106.36,99.85,115.71,,101.87,97.24,108.53,,100.03,94.06,108.72,
nan,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры
Российская Федерация,131.11,134.21,128.93,128.23,130.74,132.01,129.85,129.42,129.75,131.33,128.69,127.86,127.35,128.2,126.91,125.56
Центральный федеральный округ,127.38,129.07,126.8,127.56,127.7,123.93,127.73,130.98,126.29,123.61,126.26,128.78,124.8,120.29,125.41,127.03
Белгородская область,123.06,115.06,123.88,,124.31,114.26,125.32,,125.17,113.27,126.38,,123.61,112.75,124.69,
Брянская область,150.33,155.5,127.29,151.1,147.24,151.87,126.6,146.59,143.2,147.46,123.75,144.65,138.69,142.35,121.11,143.46
Владимирская область,139.68,142.21,139.38,,139.13,151.29,137.69,,136.07,151.54,134.26,,133.34,148.01,131.62,
Воронежская область,126.66,127.3,126.7,100.06,129.65,131.36,129.29,102.16,127.53,128.8,127.3,102.14,127.07,127.53,127.11,104.56
Ивановская область,130.19,,130.19,,127.19,,127.19,,122.83,,122.83,,118.51,,118.51,
Калужская область,119.29,115.96,120.92,94.06,130.99,128.68,132.31,98.88,135.57,130.03,137.99,105.47,134.55,129.7,136.65,108.82
Костромская область,115.42,,115.42,,117.24,,117.24,,118.33,,118.33,,119.29,,119.29,
Курская область,122.85,,122.85,,122.81,,122.81,,123.66,,123.66,,121.79,,121.79,
Липецкая область,140.38,118.59,143.68,108.78,140.46,118.81,143.69,110.03,138.77,124.76,140.97,114.95,134.86,127.25,136.19,114.94
Московская область,124.2,123.81,124.51,105.4,127.2,120.12,131.63,104.1,125.31,119.77,128.68,104.12,123.78,118.89,126.73,104.34
Орловская область,124.88,115.19,125.27,121.93,123.21,123.16,123.66,116.64,123.14,121.88,123.42,119.2,122.22,121.97,122.39,119.79
Рязанская область,129.51,127.39,129.74,,136.15,137.16,136.03,,137.31,139.66,137.05,,139.33,141.87,139.05,
Смоленская область,123.82,140.7,118.39,,127.5,141.61,122.81,,127.59,142.77,122.48,,126.82,139.57,122.49,
Тамбовская область,124.83,129.44,122.85,115.74,127.92,129.47,127.27,120.37,127.75,129.66,126.94,121.92,127.24,127.32,127.2,121.14
Тверская область,144.55,,144.14,151.72,141.22,,141.02,144.71,138.24,,138.16,139.72,135.32,,135.52,131.84
Тульская область,116.49,104.94,118.84,108.19,116.09,103.8,117.73,111.6,116.42,107.46,118.18,110.56,115.45,109.27,116.49,112.11
Ярославская область,132.01,128.48,134.4,108.25,135.08,132.41,136.92,113.15,133.89,132.02,135.17,115.6,132.77,130.67,134.19,116.84
Город Москва столица Российской Федерации город федерального значения,127.57,126.98,127.3,127.97,125.06,106.33,123.45,131.49,123.15,107.77,120.95,129.2,121.16,100.04,120.32,127.36
Северо-Западный федеральный округ,132.74,133.27,132.67,126.95,130.58,130.62,132.43,123.73,131.74,132.45,131.1,125.69,128.74,129.6,127.33,123.61
Республика Карелия,129.85,126.37,131.3,,136.88,127.19,140.87,,137.24,127.84,141.01,,133.75,122.44,138.32,
Республика Коми,123.06,,123.06,,125.44,,125.44,,125.81,,125.81,,126.14,,126.14,
Архангельская область,117.0,120.88,116.7,107.63,117.1,119.68,117.01,106.27,115.96,116.8,116.09,105.98,114.92,116.34,114.96,105.62
Ненецкий автономный округ (Архангельская область),99.65,,99.65,,99.97,,99.97,,100.07,,100.07,,100.12,,100.12,
Архангельская область (кроме Ненецкого автономного округа),118.39,120.88,118.31,107.63,118.45,119.68,118.61,106.27,117.18,116.8,117.56,105.98,116.04,116.34,116.28,105.62
Вологодская область,123.73,121.89,128.97,129.12,127.33,125.87,131.53,129.75,129.37,129.01,130.44,127.5,129.9,129.48,131.31,122.66
Калининградская область,127.15,118.61,135.91,,129.68,122.52,136.76,,127.11,120.79,133.19,,125.59,121.53,129.45,
Ленинградская область,130.87,130.87,,,140.28,140.28,,,148.77,148.77,,,151.17,151.17,,
Новгородская область,118.95,115.1,122.11,,118.29,114.11,121.65,,117.4,113.55,120.46,,116.66,111.29,120.96,
Псковская область,128.21,127.48,133.96,100,128.93,129.11,132.24,100,129.98,129.04,136.37,100.81,129.88,128.3,137.95,101.22
Город Санкт-Петербург город федерального значения,133.72,134.04,134.96,127.11,130.96,131,133.62,123.86,132.25,132.86,132.13,125.85,129.01,129.86,127.44,123.76
Южный федеральный округ,155.51,157.74,152.21,165.82,147.48,146.25,148.37,158.33,138.3,135.79,141.49,138.4,131.13,127.84,135.46,129.45
Республика Адыгея (Адыгея),170.7,175.83,124.68,,162.63,166.73,123.71,,151.9,154.18,127.88,,146.47,147.65,133.23,
Республика Калмыкия,146.38,160.34,110.98,,128.5,135.47,108.07,,119.88,125.46,103.18,,114.57,118.43,102.37,
Республика Крым,126.48,129.28,118.12,102.72,125.68,127.02,121.78,103.7,121.86,122.25,120.94,101.14,120.27,120.79,118.87,99.88
Краснодарский край,174.2,169.72,179.94,236.87,156.0,152.32,161.08,201.6,141.03,138.67,145.6,146.23,130.76,128.12,136.52,128.13
Астраханская область,132.33,106.95,136.19,102.62,135.28,106.99,139.52,102.15,131.53,107.22,135.07,102.22,129.06,108.05,132.11,101.93
Волгоградская область,126.47,124.31,128.89,122.56,130.33,130.06,131.32,126.86,129.91,130.54,129.4,130.24,128.9,129.78,127.56,132.08
Ростовская область,139.65,132.63,141.95,131.22,145.59,133.16,149.28,138.93,144.4,131.68,148.09,139.84,140.3,129.35,143.48,135.74
Город федерального значения Севастополь,129.3,131.32,128.26,,124.88,126.94,123.8,,120.74,120.02,121.13,,115.06,115.06,115.06,
Северо-Кавказский федеральный округ,119.04,116.34,121.99,112.21,118.49,115.03,122.08,112.11,118.86,114.94,122.96,110.56,118.27,115.82,120.95,110.51
Республика Дагестан,129.38,118.29,152.04,109.27,126.18,116.93,144.75,106.88,125.14,118.24,139.95,105.52,125.32,120.26,137.21,105.33
Республика Ингушетия,109.16,109.66,108.27,107.64,107.37,107.68,106.8,106.4,106.38,106.44,106.41,106.15,105.36,105.37,105.52,105.31
Кабардино-Балкарская Республика,160.55,167.1,138.76,,150.01,157.45,126.3,,147.06,155.22,121.55,,145.99,154.14,120.69,
Карачаево-Черкесская Республика,111.1,116.01,110.58,102.17,109.86,115.07,108.97,102.03,108.56,114.77,107.08,101.34,107.68,114.19,105.97,101
Республика Северная Осетия-Алания,109.31,106.77,111.71,108.96,111.5,111.22,111.99,108.96,113.16,112.95,113.64,109.74,113.9,113.85,114.26,110.14
Чеченская Республика,105.0,105.7,103.74,103,102.93,103.44,101.94,101.87,101.04,101.29,100.56,100.44,100.24,100.44,99.87,99.74
Ставропольский край,118.73,111.34,123.49,121.37,119.08,110.05,124.78,122.69,120.01,110.08,126.36,119.1,118.97,111.72,123.44,118.91
Приволжский федеральный округ,128.48,130.08,127.69,123.73,131.39,133.57,130.28,125.26,131.98,134.49,130.62,125.67,130.79,133.08,129.69,123.52
Республика Башкортостан,127.88,130.54,124.94,119.14,134.0,138.72,127.74,125.1,136.49,141.39,129.66,129.35,135.9,139.95,130.88,125.91
Республика Марий Эл,123.3,127.28,120.77,,121.02,126.23,117.67,,120.54,125.58,117.26,,121.26,128.04,116.88,
Республика Мордовия,123.96,122.93,124.13,,128.67,126.38,129.06,,129.12,130.93,128.81,,128.51,130.02,128.26,
Республика Татарстан (Татарстан),130.83,127.04,132.95,146.63,131.54,127.47,133.67,151,131.97,128.61,133.59,150.06,130.88,127.66,132.53,146.06
Удмуртская Республика,112.08,104.19,123.65,102.82,112.37,104.69,124.28,102.1,111.94,105.46,122.66,101.71,111.12,105.52,120.68,101.41
Чувашская Республика - Чувашия,133.0,134.37,132,130.14,131.72,133.12,131.08,126.2,129.42,131.02,128.97,121.12,126.53,128.22,126.22,116.66
Пермский край,123.9,123.85,124.22,118.41,126.42,128.23,126.35,117.3,127.61,131.96,126.72,119.01,126.85,132.35,125.53,119.51
Кировская область,137.37,149.48,128.75,106.18,140.96,152.24,133.01,106.74,138.43,147.04,132.4,106.65,134.38,139.78,130.61,106.33
Нижегородская область,128.34,132.18,126.59,131.64,132.8,137.5,131.06,132.91,133.22,135.13,132.87,129.17,132.23,131.6,132.96,127.03
Оренбургская область,122.25,118.02,127,101.85,123.59,119.76,127.97,101.85,122.79,120.92,125.25,101.54,121.93,121.48,123.02,101.15
Пензенская область,129.86,126.04,130.11,,133.5,125.11,134.05,,134.69,127.46,135.16,,134.04,132.82,134.12,
Самарская область,123.18,127.99,119.84,141.53,130.51,137.67,126.24,144.99,131.91,138.99,127.16,154.27,130.48,137.03,126.14,148.18
Саратовская область,144.99,147.09,117.12,113.4,145.7,147.98,124.5,110.68,147.93,150.35,127.06,110.27,146.67,149.01,127.5,109.33
Ульяновская область,128.94,123.21,137.38,,133.59,129.12,140.11,,134.26,130.16,140.16,,132.99,130.34,136.76,
Уральский федеральный округ,121.4,119.74,121.44,128.39,123.21,122.04,123.19,129.01,122.94,121.31,123.14,126.51,121.8,121.04,121.97,121.93
Курганская область,122.29,119.54,123.65,,125.07,120.79,127.22,,126.18,119.61,129.48,,125.81,120.17,128.61,
Свердловская область,124.32,121.68,123.83,132.89,126.34,124.69,126.01,131.97,125.57,123.12,125.42,130.38,124.01,122.01,123.98,126.86
Тюменская область,117.18,109.4,118.58,119.63,117.86,111.5,118.89,123.99,118.06,112.8,118.98,119.37,117.04,113.53,117.82,110.16
Ханты-Мансийский автономный округ - Югра (Тюменская область),112.64,102.57,116.67,,116.43,105.27,120.87,,119.8,106.92,124.88,,120.08,108.06,124.72,
Ямало-Ненецкий автономный округ (Тюменская область),104.38,100,111.62,,104.62,100,112.2,,104.73,100.02,112.46,,104.28,100.07,111.07,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),118.29,113.38,118.96,119.63,118.31,115.32,118.58,123.99,117.86,116.49,118.01,119.37,116.57,117.01,116.68,110.16
Челябинская область,130.41,132.5,129.24,115.85,135.9,134.32,138.04,118.28,134.65,131.08,138.72,114.33,133.8,129.76,138.22,114.84
Сибирский федеральный округ,131.17,134.12,129.42,130.43,131.34,135.21,129.17,127.15,129.78,132.96,127.9,129.43,128.22,130.47,126.91,126.99
Республика Алтай,118.52,113.21,125.47,,122.74,115.61,132.11,,121.19,115.46,128.56,,120.65,115.78,126.85,
Республика Тыва,145.94,145.94,,,140.44,140.44,,,137.31,137.31,,,130.73,130.73,,
Республика Хакасия,123.32,119.88,124.19,,123.39,119.79,124.28,,124.65,121.86,125.35,,123.83,120.2,124.76,
Алтайский край,133.2,135.2,132.91,115.98,135.06,137.93,134.53,119.05,132.05,136.47,131.05,119.83,129.92,134.48,128.82,122.03
Красноярский край,128.23,125.86,128.66,103.97,125.18,126.46,125.07,106.68,122.71,124.31,122.53,109.15,120.82,122.57,120.62,109.02
Иркутская область,133.62,122.18,138.46,,125.73,116.05,129.51,,124.18,115.15,127.63,,123.6,114.61,126.99,
Кемеровская область - Кузбасс,159.64,166.78,150.74,,160.75,165.19,155.2,,156.29,159.01,152.85,,153.21,154.89,151.06,
Новосибирская область,127.56,129.83,124.05,130.86,128.39,130.21,126.04,126.92,127.88,128.02,127.51,129.39,126.09,125.39,127.12,125.85
Омская область,130.8,132.96,127.85,143.09,133.95,138.43,128.64,138.31,133.41,136.78,129.25,139.9,132.9,134.6,130.6,141.02
Томская область,125.51,113.96,126.32,,126.52,119.32,127.01,,124.9,121,125.17,,124.46,122.62,124.58,
Дальневосточный федеральный округ,118.81,117.34,119.69,118.39,120.58,116.57,123.16,114.18,120.16,115.33,123.25,113.34,118.71,113.87,121.85,110.55
Республика Бурятия,128.05,127.27,129.28,,128.26,128.41,128.02,,126.13,123.95,129.56,,119.77,117.06,124,
Республика Саха (Якутия),115.1,117.26,110.84,,115.84,118.76,110.03,,114.9,118.4,107.95,,113.51,117.32,105.97,
Забайкальский край,120.96,,120.96,,136.08,,136.08,,138.85,,138.85,,138.58,,138.58,
Камчатский край,134.08,120.02,140.87,,134.56,116.4,143.86,,133.69,112.23,145.22,,125.69,108.9,134.1,
Приморский край,117.86,111.02,119.76,121.24,118.02,110.15,120.48,116.43,117.28,108.69,120.03,114.38,116.21,108.11,118.9,111.4
Хабаровский край,118.81,125.05,116.53,111.22,117.14,121.84,115.54,108.4,116.32,120.7,114.58,110.55,113.85,118.39,112.03,108.3
Амурская область,121.29,121.84,120.43,,121.42,120.97,122.12,,121.21,120.91,121.7,,121.15,121.32,120.87,
Магаданская область,102.78,102.68,110,,103.99,103.91,110,,104.44,104.32,113.67,,104.24,104.1,115.5,
Сахалинская область,114.92,111.81,119.42,,110.61,105.8,117.55,,107.61,102.86,114.45,,105.62,100.55,112.95,
